"Timestamp","Which district you are from?","Gender","Age range ","Highest education qualification ","Occupation ","Monthly Income ","Do you have a savings / current account?","Does your bank provide online banking application services?","Do you own a smartphone that is capable of running mobile banking apps? ","Do you use a self-care mobile banking app? ","How many different bank accounts do you have?","How do you fulfill your banking needs? (you can select multiple answers)","When do you use bank counters? (you can select multiple answers)","When do you use ATM (you can select multiple answers)","How far you usually travel to access your bank / ATM","How often you use bank / ATM per week","Do you think ATM and bank counters are more secure than mobile banking applications?","Are the ATM and bank counters a faster way to do transactions than mobile applications?","Are you afraid that you might make any mistakes when doing payments and transactions via online banking applications?","Does the process of onboarding to the mobile baking application for the first time too much time-consuming?","Should the online banking application fee be reduced?","Should the banking application user experience be improved? ","Given the COVID19 Social Distancing and Lockdowns, Will you consider moving towards online banking applications?"
"2020/11/02 7:54:29 am GMT+5:30","Ampara","Prefer not to say","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","3","Bank Counter;ATM","Transfer / Deposit;Pay Utility Bills;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Check the account status / balance","< 2 Km","1 - 3","Agree","Don’t have an idea ","Agree","Disagree","Neutral","Agree","Yes"
"2020/11/02 8:05:09 am GMT+5:30","Batticaloa","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/02 8:24:48 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Student","15 000 - 50 000","Yes","Yes","Yes","No","1","Bank Counter;ATM","Transfer / Deposit;Pay Utility Bills;Check the account status / balance","Money Withdrawal","3 - 6 Km","1 - 3","Agree","Disagree","Disagree","Agree","Agree","Agree","Yes"
"2020/11/03 10:23:15 am GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Teacher","Under 15 000","Yes","Maybe","No","Yes","","","","","","","","","","","","",""
"2020/11/03 11:54:00 am GMT+5:30","Colombo","Female","25 - 45","Advance Level","Home maker (house wife )","Not Applicable","Yes","Yes","Yes","No","1","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Pay Utility Bills","Walking distance","1 - 3","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Yes"
"2020/11/03 1:04:14 pm GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","Yes","Yes","","","","","","","","","","","","",""
"2020/11/03 10:16:45 pm GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Home maker (house wife )","Not Applicable","Yes","No","Yes","No","1","Bank Counter","Money Withdrawal","I don't use ATM","Walking distance","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/11/04 9:48:09 am GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Home maker (house wife )","Not Applicable","Yes","No","Yes","No","1","Bank Counter","Money Withdrawal","I don't use ATM","Walking distance","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/11/04 11:29:00 am GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/05 10:43:56 am GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Home maker (house wife )","Not Applicable","Yes","No","Yes","No","1","Bank Counter","Money Withdrawal","I don't use ATM","Walking distance","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/11/06 10:11:40 pm GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Home maker (house wife )","Not Applicable","Yes","No","Yes","No","1","Bank Counter","Money Withdrawal","I don't use ATM","Walking distance","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/11/11 9:38:03 pm GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","15 000 - 50 000","Yes","Yes","Yes","No","1","Bank Counter;ATM","Transfer / Deposit;Pay Utility Bills","Money Withdrawal;Transfer / Deposit","3 - 6 Km","1 - 3","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Yes"
"2020/11/23 12:27:19 pm GMT+5:30","Gampaha","Female","16 - 25","Advance Level","Home maker (house wife )","Not Applicable","No","Yes","Yes","No","1","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit","Money Withdrawal;Transfer / Deposit","3 - 6 Km","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/11/23 5:02:48 pm GMT+5:30","Gampaha","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/24 11:07:55 pm GMT+5:30","Ampara","Female","25 - 45","Advance Level","Teacher","15 000 - 50 000","Yes","Yes","Yes","No","1","ATM","Transfer / Deposit","Money Withdrawal","< 2 Km","1 - 3","Agree","Disagree","Neutral","Neutral","Agree","Agree","Maybe"
"2020/11/24 11:09:25 pm GMT+5:30","Batticaloa","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","No","2","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit;Pay Utility Bills","Money Withdrawal;Transfer / Deposit","< 2 Km","1 - 3","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Maybe"
"2020/11/24 11:11:00 pm GMT+5:30","Kurunegala","Male","25 - 45","Ordinary Level","Service and sales worker (shops and business)","Above 100 000","Yes","Yes","Yes","No","3","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit;Pay Utility Bills;Check the account status / balance","Money Withdrawal","< 2 Km","1 - 3","Agree","Neutral","Agree","Disagree","Agree","Neutral","Maybe"
"2020/12/01 8:50:20 pm GMT+5:30","Colombo","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","1","Bank Counter;ATM","Money Withdrawal","Transfer / Deposit;Pay Utility Bills","Walking distance","1 - 3","Agree","Neutral","Disagree","Agree","Agree","Agree","Yes"
"2020/12/01 9:02:05 pm GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Student","15 000 - 50 000","Yes","Yes","Yes","No","2","Bank Counter;ATM","Money Withdrawal;Pay Utility Bills;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Pay Utility Bills","Walking distance","1 - 3","Agree","Disagree","Agree","Neutral","Neutral","Agree","Maybe"
