"Timestamp","Which district you are from?","Gender","Age range ","Highest education qualification ","Occupation ","Monthly Income ","Do you have a savings / current account?","Does your bank provide online banking application services?","Do you own a smartphone that is capable of running mobile banking apps? ","Do you use a self-care mobile banking app? ","How many different bank accounts do you have?","How do you fulfill your banking needs? (you can select multiple answers)","When do you use bank counters? (you can select multiple answers)","When do you use ATM (you can select multiple answers)","How far you usually travel to access your bank / ATM","How often you use bank / ATM per week","Do you think ATM and bank counters are more secure than mobile banking applications?","Are the ATM and bank counters a faster way to do transactions than mobile applications?","Are you afraid that you might make any mistakes when doing payments and transactions via online banking applications?","Does the process of onboarding to the mobile baking application for the first time too much time-consuming?","Should the online banking application fee be reduced?","Should the banking application user experience be improved? ","Given the COVID19 Social Distancing and Lockdowns, Will you consider moving towards online banking applications?"
"2020/10/30 2:09:24 pm GMT+5:30","Kurunegala","Male","25 - 45","Diploma / Bachelor's Degree","Business man ","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 2:40:50 pm GMT+5:30","Nuwara Eliya","Female","16 - 25","Diploma / Bachelor's Degree","Student","Under 15 000","Yes","Yes","Yes","No","3","ATM","I don't use bank counters","Transfer / Deposit;Pay Utility Bills;Check the account status / balance","< 2 Km","1 - 3","Neutral","Disagree","Agree","Neutral","Strongly Agree","Agree","Yes"
"2020/10/30 3:15:23 pm GMT+5:30","Trincomalee","Male","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","No","No","1","ATM","I don't use bank counters","Transfer / Deposit","Walking distance","1 - 3","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes"
"2020/10/30 6:59:04 pm GMT+5:30","Kurunegala","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 8:28:01 pm GMT+5:30","Kandy","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 8:28:22 pm GMT+5:30","Colombo","Female","25 - 45","Diploma / Bachelor's Degree","Manager","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 10:03:35 pm GMT+5:30","Kandy","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/31 3:56:02 pm GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","No","1","ATM;Bank website","I don't use bank counters","Money Withdrawal","Walking distance","1 - 3","Agree","Disagree","Neutral","Agree","Agree","Strongly Agree","Yes"
"2020/10/31 8:14:42 pm GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","No","1","ATM;Bank website","I don't use bank counters","Money Withdrawal","Walking distance","1 - 3","Agree","Disagree","Neutral","Agree","Agree","Strongly Agree","Yes"
"2020/10/31 11:04:56 pm GMT+5:30","Gampaha","Female","60 +","Diploma / Bachelor's Degree","Retired","50 000 - 100 000","Yes","Yes","No","No","2","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit","Money Withdrawal","3 - 6 Km","1 - 3","Agree","Strongly Disagree","Agree","Neutral","Agree","Agree","Yes"
"2020/11/01 10:17:24 am GMT+5:30","Kurunegala","Male","45 - 60","Diploma / Bachelor's Degree","Medical officer","Above 100 000","Yes","Yes","Yes","No","2","Bank Counter","Money Withdrawal;Transfer / Deposit;Pay Utility Bills;Credit card payments / Loan payments","I don't use ATM","3 - 6 Km","1 - 3","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Maybe"
"2020/11/01 10:50:51 am GMT+5:30","Kalutara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","No","More than 3","Bank Counter;ATM","I don't use bank counters","Money Withdrawal","< 2 Km","6 - 10","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Yes"
"2020/11/01 11:44:39 am GMT+5:30","Galle","Female","60 +","Diploma / Bachelor's Degree","Retired","15 000 - 50 000","Yes","Yes","Yes","No","More than 3","ATM","Transfer / Deposit;Check the account status / balance","Transfer / Deposit","7 - 15 Km","1 - 3","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Maybe"
"2020/11/01 7:53:27 pm GMT+5:30","Kegalle","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 7:58:01 pm GMT+5:30","Ampara","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:00:03 pm GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Service and sales worker (shops and business)","Under 15 000","Yes","No","No","No","2","ATM","I don't use bank counters","Money Withdrawal;Transfer / Deposit","3 - 6 Km","1 - 3","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Maybe"
"2020/11/01 8:00:10 pm GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Service and sales worker (shops and business)","Under 15 000","Yes","No","No","No","2","ATM","I don't use bank counters","Money Withdrawal;Transfer / Deposit","3 - 6 Km","1 - 3","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Maybe"
"2020/11/01 8:01:43 pm GMT+5:30","Batticaloa","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","No","3","ATM","Transfer / Deposit","Money Withdrawal","< 2 Km","1 - 3","Neutral","Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Yes"
"2020/11/01 8:05:19 pm GMT+5:30","Ampara","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:05:48 pm GMT+5:30","Batticaloa","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:14:34 pm GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Waiting for job","Not Applicable","Yes","Maybe","Yes","No","2","ATM","Check the account status / balance","Money Withdrawal;Transfer / Deposit","3 - 6 Km","4 - 6","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Maybe"
"2020/11/01 8:15:00 pm GMT+5:30","Kalutara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","15 000 - 50 000","Yes","Yes","Yes","No","2","ATM","I don't use bank counters","Money Withdrawal;Transfer / Deposit;Check the account status / balance","< 2 Km","1 - 3","Neutral","Strongly Disagree","Agree","Neutral","Agree","Agree","Yes"
"2020/11/01 8:16:25 pm GMT+5:30","Ampara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:17:02 pm GMT+5:30","Ampara","Male","16 - 25","Diploma / Bachelor's Degree","Student","Under 15 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:17:19 pm GMT+5:30","Ampara","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:19:34 pm GMT+5:30","Colombo","Female","16 - 25","Diploma / Bachelor's Degree","Project Assistant","15 000 - 50 000","Yes","Yes","Yes","No","3","Bank Counter;ATM;Online banking","Money Withdrawal;Transfer / Deposit;Check the account status / balance","Money Withdrawal;Transfer / Deposit","< 2 Km","1 - 3","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Agree","Agree","Yes"
"2020/11/01 8:19:48 pm GMT+5:30","Kegalle","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:20:18 pm GMT+5:30","Kurunegala","Female","25 - 45","Diploma / Bachelor's Degree","Medical officer","50 000 - 100 000","Yes","Yes","Yes","No","1","ATM","Money Withdrawal;Transfer / Deposit","Money Withdrawal","Walking distance","1 - 3","Neutral","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Agree","Yes"
"2020/11/01 8:25:37 pm GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","No","Yes","No","1","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit","Money Withdrawal","Walking distance","1 - 3","Neutral","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Yes"
"2020/11/01 8:28:00 pm GMT+5:30","Gampaha","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:29:28 pm GMT+5:30","Galle","Female","25 - 45","Diploma / Bachelor's Degree","Teacher","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:29:57 pm GMT+5:30","Ampara","Male","25 - 45","Advance Level","Student","Under 15 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:30:10 pm GMT+5:30","Colombo","Male","16 - 25","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:30:53 pm GMT+5:30","Kandy","Female","25 - 45","Diploma / Bachelor's Degree","Teacher","15 000 - 50 000","Yes","Yes","Yes","No","2","Bank Counter;ATM","Money Withdrawal;Check the account status / balance","Money Withdrawal","< 2 Km","1 - 3","Neutral","Disagree","Agree","Agree","Disagree","Agree","Yes"
"2020/11/01 8:34:14 pm GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:34:41 pm GMT+5:30","Anuradhapura","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:42:42 pm GMT+5:30","Anuradhapura","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","Yes","No","1","ATM","Money Withdrawal;Transfer / Deposit","Money Withdrawal;Transfer / Deposit","7 - 15 Km","1 - 3","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Yes"
"2020/11/01 8:43:54 pm GMT+5:30","Gampaha","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:49:58 pm GMT+5:30","Kandy","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","Maybe","No","More than 3","Bank Counter;ATM","Money Withdrawal;Transfer / Deposit;Check the account status / balance","Money Withdrawal;Transfer / Deposit;Check the account status / balance","< 2 Km","1 - 3","Neutral","Agree","Agree","Agree","Agree","Neutral","Yes"
"2020/11/01 8:50:02 pm GMT+5:30","Gampaha","Female","25 - 45","Master's / PHD","Professional , Technical","50 000 - 100 000","Yes","No","Yes","No","3","Bank Counter;ATM","Transfer / Deposit","Pay Utility Bills","3 - 6 Km","1 - 3","Agree","Disagree","Neutral","Agree","Neutral","Agree","Yes"
"2020/11/01 8:53:53 pm GMT+5:30","Colombo","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:54:25 pm GMT+5:30","Matara","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:54:25 pm GMT+5:30","Vavuniya","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:55:09 pm GMT+5:30","Puttalam","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 8:55:29 pm GMT+5:30","Kalutara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Under 15 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 9:00:19 pm GMT+5:30","Ratnapura","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","3","ATM","Transfer / Deposit","Transfer / Deposit","Walking distance","1 - 3","Agree","Agree","Disagree","Agree","Disagree","Neutral","No"
"2020/11/01 9:02:29 pm GMT+5:30","Colombo","Female","45 - 60","Diploma / Bachelor's Degree","Teacher","50 000 - 100 000","Yes","Yes","Yes","No","3","Bank Counter;ATM","Transfer / Deposit","Money Withdrawal;Transfer / Deposit;Credit card payments / Loan payments","Walking distance","4 - 6","Neutral","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Maybe"
"2020/11/01 9:05:18 pm GMT+5:30","Matara","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 9:07:04 pm GMT+5:30","Moneragala","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","No","2","Bank Counter;ATM","Transfer / Deposit","Money Withdrawal","Walking distance","1 - 3","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Yes"
"2020/11/01 9:10:36 pm GMT+5:30","Trincomalee","Male","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","No","No","1","Bank Counter;ATM","Transfer / Deposit;Check the account status / balance","Transfer / Deposit;Check the account status / balance","7 - 15 Km","1 - 3","Neutral","Neutral","Agree","Agree","Neutral","Agree","Yes"
"2020/11/01 9:12:21 pm GMT+5:30","Badulla","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 9:17:54 pm GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/11/01 9:20:10 pm GMT+5:30","Puttalam","Female","25 - 45","Diploma / Bachelor's Degree","Student","15 000 - 50 000","Yes","Yes","Yes","No","2","ATM","I don't use bank counters","Money Withdrawal","3 - 6 Km","1 - 3","Agree","Disagree","Agree","Agree","Neutral","Neutral","Yes"
"2020/11/01 9:27:43 pm GMT+5:30","Jaffna","Female","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","Not Applicable","Yes","Yes","Maybe","Yes","","","","","","","","","","","","",""
